customer_id,gender,wealth_segment,age,age_group,state,brand,product_line,product_class,product_size,list_price,standard_cost,product_profit
1,Female,Mass Customer,65.0,Senior,NSW,OHM Cycles,Standard,medium,medium,235.63,125.07,110.56
1,Female,Mass Customer,65.0,Senior,NSW,Solex,Standard,medium,medium,1577.53,826.51,751.02
1,Female,Mass Customer,65.0,Senior,NSW,Trek Bicycles,Road,low,small,1720.7,1531.42,189.27999999999997
1,Female,Mass Customer,65.0,Senior,NSW,Norco Bicycles,Standard,medium,medium,360.4,270.3,90.09999999999997
1,Female,Mass Customer,65.0,Senior,NSW,Solex,Standard,medium,medium,71.49,53.62,17.869999999999997
1,Female,Mass Customer,65.0,Senior,NSW,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34
1,Female,Mass Customer,65.0,Senior,NSW,Norco Bicycles,Mountain,low,small,688.63,612.88,75.75
1,Female,Mass Customer,65.0,Senior,NSW,Giant Bicycles,Standard,medium,medium,230.91,173.18,57.72999999999999
1,Female,Mass Customer,65.0,Senior,NSW,Giant Bicycles,Standard,medium,medium,642.7,211.37,431.33000000000004
1,Female,Mass Customer,65.0,Senior,NSW,OHM Cycles,Road,medium,medium,742.54,667.4,75.13999999999999
1,Female,Mass Customer,65.0,Senior,NSW,Giant Bicycles,Standard,high,medium,1274.93,764.96,509.97
2,Male,Mass Customer,38.0,Adult,NSW,Giant Bicycles,Standard,medium,medium,1403.5,954.82,448.67999999999995
2,Male,Mass Customer,38.0,Adult,NSW,WeareA2B,Standard,medium,medium,752.64,205.36,547.28
2,Male,Mass Customer,38.0,Adult,NSW,WeareA2B,Standard,medium,medium,1992.93,762.63,1230.3000000000002
3,Male,Mass Customer,64.0,Elder,QLD,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26
3,Male,Mass Customer,64.0,Elder,QLD,Giant Bicycles,Standard,medium,large,1635.3,993.66,641.64
3,Male,Mass Customer,64.0,Elder,QLD,Trek Bicycles,Road,medium,large,1894.19,598.76,1295.43
3,Male,Mass Customer,64.0,Elder,QLD,Norco Bicycles,Road,medium,large,1240.31,795.1,445.2099999999999
3,Male,Mass Customer,64.0,Elder,QLD,Trek Bicycles,Road,low,small,1720.7,1531.42,189.27999999999997
3,Male,Mass Customer,64.0,Elder,QLD,Norco Bicycles,Standard,high,medium,1148.64,689.18,459.46000000000015
3,Male,Mass Customer,64.0,Elder,QLD,Norco Bicycles,Standard,low,medium,363.01,290.41,72.59999999999997
3,Male,Mass Customer,64.0,Elder,QLD,Trek Bicycles,Mountain,low,medium,574.64,459.71,114.93
4,Male,Mass Customer,57.0,Elder,NSW,Giant Bicycles,Standard,medium,large,569.56,528.43,41.129999999999995
4,Male,Mass Customer,57.0,Elder,NSW,Solex,Standard,medium,medium,478.16,298.72,179.44
5,Female,Affluent Customer,41.0,Adult,VIC,Norco Bicycles,Road,high,large,774.53,464.72,309.80999999999995
5,Female,Affluent Customer,41.0,Adult,VIC,Norco Bicycles,Mountain,low,small,688.63,612.88,75.75
5,Female,Affluent Customer,41.0,Adult,VIC,Trek Bicycles,Road,medium,medium,290.62,215.14,75.48000000000002
5,Female,Affluent Customer,41.0,Adult,VIC,Giant Bicycles,Standard,medium,large,1812.75,582.48,1230.27
5,Female,Affluent Customer,41.0,Adult,VIC,WeareA2B,Road,low,small,1172.78,1043.77,129.01
